condition,tag,family,support,n_answered,tp,fp,fn,tn,precision,precision_lo,precision_hi,precision_lo_clust,precision_hi_clust,recall,recall_lo,recall_hi,recall_lo_clust,recall_hi_clust,f1,f1_lo_clust,f1_hi_clust,boot_degenerate,baseline_f1,accuracy,baseline_accuracy
camera,cyclist,visible_objects,109,628,24,0,85,519,1.0,0.862,1.0,1.0,1.0,0.2202,0.1527,0.3068,0.0614,0.4368,0.3609,0.1157,0.608,True,0.0,0.8646,0.8264
camera,parked_bicycle,visible_objects,68,628,8,1,60,559,0.8889,0.565,0.9801,0.0,1.0,0.1176,0.0608,0.2154,0.0,0.2317,0.2078,0.0,0.3714,False,0.0,0.9029,0.8917
camera,construction_object,visible_objects,203,628,100,3,103,422,0.9709,0.9178,0.99,0.9189,1.0,0.4926,0.4246,0.5609,0.3244,0.6382,0.6536,0.4856,0.7704,False,0.0,0.8312,0.6768
camera,traffic_cone,visible_objects,135,628,86,10,49,483,0.8958,0.8188,0.9424,0.7949,0.9626,0.637,0.5532,0.7133,0.4622,0.7875,0.7446,0.601,0.8504,False,0.0,0.9061,0.785
camera,barrier,visible_objects,121,628,83,22,38,485,0.7905,0.7031,0.8574,0.6032,0.9096,0.686,0.5986,0.7618,0.4948,0.8254,0.7345,0.5608,0.8414,False,0.0,0.9045,0.8073
camera,pedestrian_near,visible_objects,150,628,114,41,36,437,0.7355,0.661,0.7986,0.5935,0.8528,0.76,0.6857,0.8213,0.6261,0.8667,0.7475,0.6281,0.8399,False,0.0,0.8774,0.7611
camera,vehicle_near,visible_objects,283,628,280,267,3,78,0.5119,0.4701,0.5535,0.4321,0.5871,0.9894,0.9693,0.9964,0.9748,1.0,0.6747,0.6009,0.7373,False,0.0,0.5701,0.5494
camera,lead_vehicle,interaction,314,628,240,121,74,193,0.6648,0.6146,0.7116,0.5718,0.7452,0.7643,0.7144,0.8079,0.669,0.85,0.7111,0.6295,0.779,False,0.6667,0.6895,0.5
camera,lead_braking,interaction,108,628,3,16,105,504,0.1579,0.0552,0.3757,0.0,0.4288,0.0278,0.0095,0.0785,0.0,0.0833,0.0472,0.0,0.1273,False,0.0,0.8073,0.828
camera,cut_in,interaction,109,628,0,0,109,519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8264,0.8264
camera,pedestrian_crossing_path,interaction,98,628,0,0,98,530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0377,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8439,0.8439
cot,is_going_straight,ego_maneuver,456,627,334,109,122,62,0.754,0.7118,0.7918,0.6847,0.8193,0.7325,0.69,0.771,0.6576,0.8055,0.743,0.6831,0.7976,False,0.8413,0.6316,0.7261
cot,is_turn_left,ego_maneuver,76,627,0,1,75,551,0.0,0.0,0.7935,0.0,0.0,0.0,0.0,0.0487,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8788,0.879
cot,is_turn_right,ego_maneuver,60,627,0,4,60,563,0.0,0.0,0.4899,0.0,0.0,0.0,0.0,0.0602,0.0,0.0,0.0,0.0,0.0,True,0.0,0.8979,0.9045
